Time,Voltage,Voltage_0,Voltage_1
34:12.6,0.199303,0.210048,0.487698
34:12.7,0.199303,0.215141,0.487698
34:12.8,0.199813,0.215141,0.487698
34:12.9,0.198284,0.210048,0.487698
34:13.0,0.198284,0.210048,0.487698
34:13.1,0.198794,0.210048,0.487698
34:13.2,0.199303,0.210048,0.487698
34:13.3,0.199303,0.210048,0.487698
34:13.4,0.199303,0.210048,0.487698
34:13.5,0.200322,0.210048,0.487698
34:13.6,0.199303,0.210048,0.487698
34:13.7,0.198794,0.210048,0.487698
34:13.8,0.199813,0.210048,0.487698
34:13.9,0.199303,0.210048,0.487698
