Time,Voltage,Voltage_0,Voltage_1
2022/8/9 23:24:46.631,0.203378,0.215141,0.492789
2022/8/9 23:24:46.731,0.202359,0.210048,0.492789
2022/8/9 23:24:46.831,0.203378,0.215141,0.492789
2022/8/9 23:24:46.931,0.204397,0.210048,0.492789
2022/8/9 23:24:47.031,0.203887,0.210048,0.492789
2022/8/9 23:24:47.131,0.203887,0.215141,0.492789
2022/8/9 23:24:47.231,0.202869,0.215141,0.492789
2022/8/9 23:24:47.331,0.202869,0.215141,0.492789
2022/8/9 23:24:47.431,0.202869,0.215141,0.492789
2022/8/9 23:24:47.531,0.203378,0.215141,0.492789
2022/8/9 23:24:47.631,0.204397,0.210048,0.492789
2022/8/9 23:24:47.731,0.203378,0.215141,0.492789
2022/8/9 23:24:47.831,0.204397,0.215141,0.492789
2022/8/9 23:24:47.931,0.203887,0.215141,0.492789
2022/8/9 23:24:48.031,0.203887,0.210048,0.492789
2022/8/9 23:24:48.131,0.204397,0.210048,0.492789
2022/8/9 23:24:48.231,0.203887,0.215141,0.492789
2022/8/9 23:24:48.331,0.203887,0.215141,0.492789
2022/8/9 23:24:48.431,0.202869,0.215141,0.492789
2022/8/9 23:24:48.531,0.203887,0.215141,0.492789
2022/8/9 23:24:48.631,0.203887,0.215141,0.492789
2022/8/9 23:24:48.731,0.204397,0.215141,0.492789
2022/8/9 23:24:48.831,0.204906,0.215141,0.492789
2022/8/9 23:24:48.931,0.20185,0.215141,0.492789
2022/8/9 23:24:49.031,0.200322,0.215141,0.492789
2022/8/9 23:24:49.131,0.203887,0.210048,0.492789
2022/8/9 23:24:49.231,0.205416,0.210048,0.487698
2022/8/9 23:24:49.331,0.203887,0.215141,0.492789
2022/8/9 23:24:49.431,0.202359,0.215141,0.492789
2022/8/9 23:24:49.531,0.203378,0.210048,0.492789
2022/8/9 23:24:49.631,0.203887,0.215141,0.492789
2022/8/9 23:24:49.731,0.202869,0.215141,0.492789
2022/8/9 23:24:49.831,0.202869,0.215141,0.492789
2022/8/9 23:24:49.931,0.202869,0.215141,0.492789
2022/8/9 23:24:50.031,0.202869,0.215141,0.492789
2022/8/9 23:24:50.131,0.202869,0.215141,0.492789
2022/8/9 23:24:50.231,0.203887,0.215141,0.492789
2022/8/9 23:24:50.331,0.204397,0.210048,0.492789
2022/8/9 23:24:50.431,0.202869,0.210048,0.492789
2022/8/9 23:24:50.531,0.203378,0.215141,0.492789
2022/8/9 23:24:50.631,0.202359,0.215141,0.492789
2022/8/9 23:24:50.731,0.202869,0.215141,0.492789
2022/8/9 23:24:50.831,0.202869,0.215141,0.492789
2022/8/9 23:24:50.931,0.202359,0.215141,0.492789
2022/8/9 23:24:51.031,0.202869,0.215141,0.492789
2022/8/9 23:24:51.131,0.203887,0.215141,0.492789
2022/8/9 23:24:51.231,0.202869,0.215141,0.492789
2022/8/9 23:24:51.331,0.202869,0.215141,0.492789
2022/8/9 23:24:51.431,0.203887,0.210048,0.492789
2022/8/9 23:24:51.531,0.202869,0.215141,0.492789
2022/8/9 23:24:51.631,0.202869,0.215141,0.492789
2022/8/9 23:24:51.731,0.202869,0.215141,0.492789
2022/8/9 23:24:51.831,0.203378,0.210048,0.492789
2022/8/9 23:24:51.931,0.202869,0.210048,0.492789
2022/8/9 23:24:52.031,0.200831,0.215141,0.492789
2022/8/9 23:24:52.131,0.20185,0.210048,0.492789
2022/8/9 23:24:52.231,0.20185,0.215141,0.492789
2022/8/9 23:24:52.331,0.202869,0.210048,0.487698
2022/8/9 23:24:52.431,0.20185,0.210048,0.492789
2022/8/9 23:24:52.531,0.202359,0.210048,0.492789
2022/8/9 23:24:52.631,0.202359,0.210048,0.492789
2022/8/9 23:24:52.731,0.202359,0.215141,0.487698
2022/8/9 23:24:52.831,0.200831,0.210048,0.487698
2022/8/9 23:24:52.931,0.202869,0.210048,0.492789
2022/8/9 23:24:53.031,0.200831,0.210048,0.492789
2022/8/9 23:24:53.131,0.199813,0.210048,0.492789
2022/8/9 23:24:53.231,0.201341,0.210048,0.487698
2022/8/9 23:24:53.331,0.20185,0.210048,0.487698
2022/8/9 23:24:53.431,0.200322,0.210048,0.487698
2022/8/9 23:24:53.531,0.201341,0.210048,0.487698
2022/8/9 23:24:53.631,0.200322,0.210048,0.492789
2022/8/9 23:24:53.731,0.199813,0.210048,0.492789
2022/8/9 23:24:53.831,0.200831,0.210048,0.487698
2022/8/9 23:24:53.931,0.200831,0.210048,0.492789
2022/8/9 23:24:54.031,0.200322,0.210048,0.487698
2022/8/9 23:24:54.131,0.200322,0.210048,0.492789
2022/8/9 23:24:54.231,0.199813,0.210048,0.487698
2022/8/9 23:24:54.331,0.200322,0.210048,0.487698
2022/8/9 23:24:54.431,0.198794,0.210048,0.487698
2022/8/9 23:24:54.531,0.199813,0.210048,0.492789
2022/8/9 23:24:54.631,0.199813,0.210048,0.487698
2022/8/9 23:24:54.731,0.198284,0.210048,0.492789
2022/8/9 23:24:54.831,0.200322,0.210048,0.487698
2022/8/9 23:24:54.931,0.198284,0.210048,0.487698
2022/8/9 23:24:55.031,0.198794,0.210048,0.487698
2022/8/9 23:24:55.131,0.198284,0.210048,0.487698
2022/8/9 23:24:55.231,0.198284,0.210048,0.487698
2022/8/9 23:24:55.331,0.198794,0.210048,0.487698
2022/8/9 23:24:55.431,0.199303,0.210048,0.487698
2022/8/9 23:24:55.531,0.199813,0.210048,0.487698
2022/8/9 23:24:55.631,0.198794,0.210048,0.487698
2022/8/9 23:24:55.731,0.198284,0.210048,0.487698
