Time,Voltage,Voltage_0,Voltage_1
31:17.1,0.200322,0.210048,0.487698
31:17.2,0.198794,0.210048,0.487698
31:17.3,0.198284,0.215141,0.487698
31:17.4,0.199813,0.210048,0.487698
31:17.5,0.200322,0.210048,0.487698
31:17.6,0.200322,0.210048,0.492789
31:17.7,0.199303,0.210048,0.487698
31:17.8,0.200322,0.210048,0.487698
31:17.9,0.200322,0.210048,0.487698
31:18.0,0.198794,0.210048,0.492789
31:18.1,0.199813,0.210048,0.492789
31:18.2,0.201341,0.210048,0.487698
31:18.3,0.200322,0.210048,0.487698
31:18.4,0.199813,0.215141,0.492789
31:18.5,0.200831,0.210048,0.487698
31:18.6,0.200322,0.210048,0.487698
31:18.7,0.199303,0.215141,0.487698
31:18.8,0.200322,0.210048,0.487698
31:18.9,0.201341,0.210048,0.492789
31:19.0,0.201341,0.210048,0.487698
31:19.1,0.200322,0.215141,0.487698
31:19.2,0.200831,0.215141,0.492789
31:19.3,0.200831,0.210048,0.492789
31:19.4,0.199813,0.210048,0.487698
31:19.5,0.200831,0.210048,0.492789
31:19.6,0.200831,0.210048,0.487698
31:19.7,0.201341,0.210048,0.487698
31:19.8,0.202359,0.210048,0.487698
31:19.9,0.201341,0.210048,0.492789
31:20.0,0.202869,0.210048,0.487698
31:20.1,0.201341,0.215141,0.492789
31:20.2,0.201341,0.215141,0.492789
31:20.3,0.20185,0.215141,0.487698
31:20.4,0.201341,0.215141,0.487698
31:20.5,0.202359,0.210048,0.487698
31:20.6,0.202359,0.215141,0.487698
31:20.7,0.202869,0.210048,0.492789
31:20.8,0.204906,0.215141,0.492789
31:20.9,0.202869,0.215141,0.487698
31:21.0,0.198794,0.215141,0.492789
31:21.1,0.200322,0.215141,0.492789
31:21.2,0.204906,0.215141,0.487698
31:21.3,0.203378,0.215141,0.487698
31:21.4,0.201341,0.215141,0.492789
31:21.5,0.200831,0.215141,0.492789
31:21.6,0.202869,0.215141,0.492789
31:21.7,0.202869,0.215141,0.492789
31:21.8,0.203887,0.215141,0.487698
31:21.9,0.202869,0.215141,0.487698
31:22.0,0.202359,0.215141,0.492789
31:22.1,0.202869,0.215141,0.492789
31:22.2,0.204906,0.215141,0.492789
31:22.3,0.203887,0.215141,0.492789
31:22.4,0.202359,0.215141,0.492789
31:22.5,0.202869,0.215141,0.492789
31:22.6,0.204906,0.210048,0.492789
31:22.7,0.204397,0.215141,0.492789
31:22.8,0.20185,0.215141,0.492789
31:22.9,0.202359,0.215141,0.492789
31:23.0,0.204397,0.215141,0.492789
31:23.1,0.203887,0.215141,0.492789
31:23.2,0.202869,0.215141,0.492789
31:23.3,0.203887,0.215141,0.487698
31:23.4,0.203887,0.215141,0.492789
31:23.5,0.204397,0.215141,0.492789
31:23.6,0.202869,0.210048,0.492789
31:23.7,0.202869,0.215141,0.492789
31:23.8,0.203378,0.215141,0.492789
31:23.9,0.203887,0.215141,0.492789
31:24.0,0.203378,0.215141,0.492789
31:24.1,0.202869,0.215141,0.492789
